id,title,description,price,product_type,specifications
9190001,Jobs Done FastTrack Coffee Mug,Jobs Done FastTrack Coffee Mug,7.99 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,Color:White
9190002,A. G. Russell Forged Italian Made Kitchen Knives Carbon Plastic 6 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",40.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Carbon,Handle Style:Plastic,Size:6 inch"
9190003,Orlando Stemware Assorted,Lots of delicate and elegant glasses,39.99 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,Type:Assortment
9190004,Lodge Seasoned Cast Iron Skillets 8in X 2 in,"""The Lodge Cast Iron 12-inch Skillet is a multi-functional cookware that works wonders with slow-cooking recipes and all your favorite foods. Made of cast iron, this Skillet evenly distributes heat from the bottom through the sidewalls. Cast Iron, like your grandmother used, still ranks as one of the best cooking utensils ever made. It gives you a nearly non-stick surface, without the possible harmful fumes generated by preheating chemically treated nonstick cookware. The American-based company, Lodge, has been fine-tuning its construction of rugged, cast-iron cookware for more than a century.""",22.99 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Diameter:8 inch,Depth:2 inch"
9190005,Calphalon 8-Piece Cookware Set Gray,"""Hard Porcelain Enamel Nonstick Cookware Set, 12-Piece, Agave Blue. Rachael Ray Cucina Cookware features rustic, modern color, functionality and design to enhance mealtime warmth and hospitality, It includes two covered saucepans (1-qt/ 3-qt), one 6-qt covered stockpot, two skillets (8-in/10-in), and one 3-qt covered saute pan""",169.97 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Designer:Calphalon,Color:Gray,Pieces:8 piece"
9190006,Cuppone Tiziano Pizza Oven Wooden 54W X 46D Single,"""Available in 10 different variations, this electric oven is easy to use and due to the small footprint when space is an issue, it is extremely popular with bars, takeaways and small cafes. Like every pizza oven in the Cuppone range the Tiziano has a stone cooking base which guarantees authentic Italian pizza cooking. Both the top and bottom elements are independently controlled and food can be checked on through the panoramic glass doors.""",1021.38 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Deck:Single,Material:Wooden,Width:54 inch,Depth:46 inch"
9190021,Grosfillex Barstool,"""This barstool is an 18 3/4in. wide, Krystal stacking resin barstool from Grosfillex with a backrest and aluminum legs. The back and seat of this stacking barstool is a crystal clear polymer that complements wood decors as well as modern furnishings.""",119.99 USD,Open Catalogue > Restaurant > Furniture,"Design:Full,Color:Blue"
9190022,CAC Bowl,"""These bowls are oven, dishwasher, and microwave safe and choose from the ceramic blue bowls for fruits or soups, or round porcelain serving trays for the presentation that best fits your restaurant.""",9.99 USD,Open Catalogue > Restaurant > Tabletop > Serving Dishes,"Material:Porcelain,Diameter:8 inch"
9190023,Grosfillex Chair,"""This chair is a 21in. wide, indoor/outdoor stacking resin side chair from Grosfillex with a back with circles cutout and a colored seat. The stacking side chair is designed for versatility and perfect for any environment including food courts, colleges, cafeterias, airports, shopping malls, or hospitals.""",129.99 USD,Open Catalogue > Restaurant > Furniture,"Design:Lines,Color:Blue"
9190024,American Metalcraft Fry-Cup,"""The assorted fry cups from American Metalcraft are a great complement for any commercial kitchen and is a fascinating way to present appetizers at your restaurant, bar, or cafe. Manufactered from top-quality stainless steel or porcelain, these fry cups are extremely durable and reliable.""",7.99 USD,Open Catalogue > Restaurant > Tabletop > Serving Dishes,"Design:Hammered,Color:Silver,Material:Stainless Steel"
9190025,Heinz Ketchup,"""HEINZ Tomato Ketchup is the #1 selling household ketchup brand. The tomatoes in every product come from HEINZ seeds and are grown by farmers we know and trust. The result is delicious ketchup made from only the firmest, juiciest, freshest tomatoes.""",1.79 USD,Open Catalogue > Restaurant > Tabletop > Consumables,"Type:Jalapeno,Size:14 Ounces"
9190026,Empura Merchandiser,"""The 2 door Empura merchandiser refrigerator has a 42 cu. ft. capacity and LED interior lighting with double-pane sliding glass doors that are self-closing with easy grab handles. The 3 door merchandiser refrigerator has heavy-duty polyethylene coated adjustable wire shelves, LED lighting, and swinging doors with a 75 cu. ft. capacity.""",917.88 USD,Open Catalogue > Restaurant > Restaurant Equipment,"Type:2 door,Color:Black"
9190027,OXO Pizza Cutter,"""Whether you prefer squares or triangles, you can slice your fresh pie with this pizza cutter. Grab hold of the single-piece plastic handle and start guiding the stainless-steel wheel through the delicious dish.""",8.49 USD,Open Catalogue > Restaurant > Cutlery,"Size:2 inch blade,Color:Black"
9190028,Mayne Planter,These polyethylene planters from Mayne come in two different models with a variety of colors to fit your restaurant's design. The weather-proof and ultra-tough construction of these planters are made with molded linear low density polyethylene (LLDPE) that makes them durable and virtually maintenance free.,369.99 USD,Open Catalogue > Restaurant > Furniture,"Design:Kobi,Color:Black"
9190029,Dixie Plastic Cutlery,"""Heavyweight cutlery is the next best thing to silverware. Spend less time cleaning and more time getting work done by choosing heavyweight utensils. No matter what your meal entails, these heavyweight utensils are up to the task.""",3.99 USD,Open Catalogue > Restaurant > Tabletop > Consumables,"Type:Fork,Color:Black"
9190030,CAC Platter,"""These beautiful serving platters are crafted from white porcelain and come in various shapes and sizes for any desired presentation, be it desserts or appetizers. Functional or decorative, these platters are sure to make an impression on the customer, and being stain-resistant, will continue to present a professional quality in your restaurant.""",39.99 USD,Open Catalogue > Restaurant > Tabletop > Serving Dishes,"Design:Tray,Diemnsions:10x5"
9190031,CAC Saucer,"""These CAC china porcelain and ceramic saucers all come in at a 6in. diamater with different designs to suit the theme of your restaurant. Every variety is dishwasher, microwave, and oven safe, allowing you to go directly from the table, to dishwasher, to preparation.""",9.99 USD,Open Catalogue > Restaurant > Tabletop > Serving Dishes,"Design:Line,Color:Blue"
9190032,Table Linen,"""These table covers are the perfect solution for picnics, catered events, and family-friendly restaurants. Utilize the quick clean up of disposable covers made of poly paper cellutex, or the durability of easy-to-clean vinyl covers for any dining area related needs.""",15.99 USD,Open Catalogue > Restaurant > Tabletop,"Type:Vinyl,Shape:Square,Color:Blue"
