id,title,description,price,product_type,specifications
9190001_1,Jobs Done FastTrack Coffee Mug,Jobs Done FastTrack Coffee Mug,7.99 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,Color:White
9190002_1,A. G. Russell Forged Italian Made Kitchen Knives Carbon Plastic 6 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",40.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Carbon,Handle Style:Plastic,Size:6 inch"
9190002_10,A. G. Russell Forged Italian Made Kitchen Knives Stainless Plastic 7 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",80.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Stainless,Handle Style:Plastic,Size:7 inch"
9190002_11,A. G. Russell Forged Italian Made Kitchen Knives Stainless Plastic 8 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",70.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Stainless,Handle Style:Plastic,Size:8 inch"
9190002_12,A. G. Russell Forged Italian Made Kitchen Knives Stainless Plastic 9 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",60.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Stainless,Handle Style:Plastic,Size:9 inch"
9190002_13,A. G. Russell Forged Italian Made Kitchen Knives Stainless Steel 6 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",50.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Stainless,Handle Style:Steel,Size:6 inch"
9190002_14,A. G. Russell Forged Italian Made Kitchen Knives Stainless Steel 7 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",40.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Stainless,Handle Style:Steel,Size:7 inch"
9190002_15,A. G. Russell Forged Italian Made Kitchen Knives Stainless Steel 8 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",70.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Stainless,Handle Style:Steel,Size:8 inch"
9190002_16,A. G. Russell Forged Italian Made Kitchen Knives Stainless Steel 9 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",60.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Stainless,Handle Style:Steel,Size:9 inch"
9190002_17,A. G. Russell Forged Italian Made Kitchen Knives Stainless Wood 6 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",50.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Stainless,Handle Style:Wood,Size:6 inch"
9190002_18,A. G. Russell Forged Italian Made Kitchen Knives Stainless Wood 7 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",40.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Stainless,Handle Style:Wood,Size:7 inch"
9190002_19,A. G. Russell Forged Italian Made Kitchen Knives Stainless Wood 8 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",30.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Stainless,Handle Style:Wood,Size:8 inch"
9190002_2,A. G. Russell Forged Italian Made Kitchen Knives Carbon Plastic 7 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",30.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Carbon,Handle Style:Plastic,Size:7 inch"
9190002_20,A. G. Russell Forged Italian Made Kitchen Knives Stainless Wood 9 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",20.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Stainless,Handle Style:Wood,Size:9 inch"
9190002_3,A. G. Russell Forged Italian Made Kitchen Knives Carbon Plastic 8 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",20.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Carbon,Handle Style:Plastic,Size:8 inch"
9190002_4,A. G. Russell Forged Italian Made Kitchen Knives Carbon Plastic 9 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",10.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Carbon,Handle Style:Plastic,Size:9 inch"
9190002_5,A. G. Russell Forged Italian Made Kitchen Knives Stainless Custom 6 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",90.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Stainless,Handle Style:Custom,Size:6 inch"
9190002_6,A. G. Russell Forged Italian Made Kitchen Knives Stainless Custom 7 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",80.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Stainless,Handle Style:Custom,Size:7 inch"
9190002_7,A. G. Russell Forged Italian Made Kitchen Knives Stainless Custom 8 inch,"""These Italian made knives, like those made for us in Germany in the 1970s and 80s, give you the heft, style and quality of traditional forged European style kitchen knives. The blades are a Molybdenum-Vanadium high-carbon stainless that will really hold an edge. The secret of great cutting is not just in the steel but in the way the blades are ground. These are ground VERY thin. They are not the knives to use for chopping bones or frozen food, but are designed to slice and dice all day long.""",70.0 USD,Open Catalogue > Restaurant > Hearthstone Top Picks,"Blade Material:Stainless,Handle Style:Custom,Size:8 inch"
